ASSET_NAME,TYPE,AMENITIES,Latitude,Longitude
NIGHTSTAR PARK,Park,Playground,43.824203761991,-79.2295361901142
NEVILLE PARK BLVD RAVINE,Park,,43.6783291161887,-79.2832826478435
MCCAUL - ORDE PARKETTE,Park,,43.6576878598497,-79.3925055205934
GRACE - COLLEGE PARKETTE,Park,,43.6546351095536,-79.4153688661445
KNOTWOOD PARK,Park,,43.8264391753292,-79.2273294735886
FLEMINGDON PARK,Park,"Ball Diamond, Basketball Court, Cricket Pitch Field, Outdoor Dry Pad, Outdoor Track, Playground, Sports Field",43.713913749563,-79.3305495831237
OLD SHEPPARD PARK,Park,"Outdoor Fitness Equipment, Playground",43.778178092447,-79.333403075224
OLIVE SQUARE PARK,Park,,43.7793760920945,-79.415040302833
LISSOM PARK,Park,Playground,43.7854665766235,-79.4418706593334
HARRYETTA GARDENS,Park,Playground,43.7816408373742,-79.4514824231484
MILLIKEN PARK,Park,"Outdoor Fitness Equipment, Picnic Site, Playground, Washroom",43.8294804392024,-79.2704940612272
G. ROSS LORD PARK,Park,"Cricket Pitch Field, Dog Off-Leash Area, Firepit, Picnic Site, Sports Field, Washroom",43.777937108103,-79.4618420556588
RUSTIC PARK,Park,"Outdoor Ping Pong/Table Tennis, Playground",43.7132813581571,-79.5044312368611
DON VALLEY BRICK WORKS,Park,"Dog Off-Leash Area, Washroom",43.6876651974829,-79.3659567636892
BRIDLETOWNE PARK,Park,"Playground, Sports Field",43.8003369853389,-79.3129769663396
CREEKSIDE PARK,Park,,43.8026703341213,-79.3965395340589
WEDGEWOOD PARK - NORTH YORK,Park,"Basketball Court, Pickleball Court, Playground, Tennis Court",43.7905113052772,-79.4063113776072
FAIRGLEN PARK,Park,Sports Field,43.7878910006331,-79.3262344989948
MANOR COMMUNITY GREEN,Park,,43.7047154558581,-79.3878944365309
ECHO VALLEY PARK,Park,,43.6524329909717,-79.5434724377719
ROYWOOD PARK,Park,"Basketball Court, Playground, Sports Field, Tennis Court",43.7645460317229,-79.3207956490873
PANORAMA PARK,Park,,43.7458818419809,-79.5796865265103
SYLVAN PARK - GATE GULLY,Park,,43.7284600783499,-79.2155967941888
OAKDALE VILLAGE PARK,Park,Playground,43.7295096975512,-79.5199764101026
SENATOR MARIAN MALONEY PARK,Park,Playground,43.6207879982904,-79.5210522606464
ETHENNONNHAWAHSTIHNEN PARK,Park,"Firepit, Playground, Sports Field, Washroom",43.7675350341834,-79.3735202085598
85 KEEWATIN AVE PARK,Park,,43.7129107148313,-79.3958794219755
ADAMS PARK,Park,"Ball Diamond, Picnic Site, Playground, Sports Field, Washroom",43.7921701980876,-79.145772929822
NEWTON PARKETTE,Park,,43.7988931022248,-79.3956772903788
WOODGROVE RAVINE PARK,Park,,43.7663322990193,-79.1691798681388
BIRCHCLIFF WOODS,Park,,43.6979600939604,-79.2625970554978
WOBURN PARK - NORTH YORK,Park,"Basketball Court, Dog Off-Leash Area, Playground",43.7227933583244,-79.427407277354
VIOLA DESMOND PARK,Park,"Ball Diamond, Basketball Court, Playground, Sports Field",43.8129161094847,-79.2185152736321
"SHAWN ""BLU"" ROSE PARK",Park,"Ball Diamond, Playground",43.8120715400616,-79.209711646995
HORSELEY HILL PARK,Park,"Ball Diamond, Playground, Sports Field",43.8107822742711,-79.2295348025861
L'AMOREAUX SPORTS COMPLEX,Park,"Ball Diamond, Picnic Site, Playground, Sports Field, Washroom",43.80473868812,-79.3063522586656
BRIDLEWOOD PARK,Park,"Ball Diamond, Playground, Tennis Court, Washroom",43.7829182576505,-79.3162401587612
SOUTH STANLEY PARK EXTENSION,Park,,43.6407319942449,-79.4090022824434
JOLLY MILLER PARK,Park,,43.7418789814899,-79.4051810423249
ELMCREST PARK,Park,,43.6443837474672,-79.5817095064902
NEILSON PARK - ETOBICOKE,Park,"Ball Diamond, Playground",43.6305843029349,-79.5674165190204
HARDING PARKETTE,Park,,43.6897787400441,-79.2624014168036
ATRIA NORTH PARK,Park,"Outdoor Fitness Equipment, Playground",43.7744318645315,-79.3290394647516
FANFARE PARK,Park,Playground,43.7918486967307,-79.1395462016122
WARDEN PARK,Park,"Ball Diamond, Outdoor Fitness Equipment",43.8048553565575,-79.3183334505613
MCLEVIN WOODS PARK,Park,,43.8077828964946,-79.2223641099687
HUNTSMILL PARK,Park,"Ball Diamond, Playground, Sports Field",43.8087933994868,-79.3287110490754
TANIS CRES WOODLOT,Park,,43.7864081894704,-79.1634551435144
HAVENDALE PARK,Park,"Ball Diamond, Playground",43.7932861435493,-79.2883214964123
BAYCREST PARK,Park,"Ball Diamond, Outdoor Dry Pad, Pickleball Court, Playground, Sports Field, Tennis Court",43.727177355758,-79.4453131539706
BRAMBER WOODS PARK,Park,Playground,43.7887900137478,-79.1668274853819
HILLSBOROUGH PARK,Park,Playground,43.7814699105735,-79.2488484562814
CAMPBELL AVENUE PARK,Park,"Basketball Court, Pickleball Court, Playground, Sports Field, Washroom",43.6635937418593,-79.4483012619283
SEASONS PARK,Park,"Ball Diamond, Basketball Court, Playground",43.830757719908,-79.2315458282338
TELFER PARK,Park,"Basketball Court, Playground",43.8075414553068,-79.2263406065073
LITTLES ROAD PARK,Park,"Cricket Pitch Field, Playground, Sports Field",43.8165727766699,-79.2057709473742
CHESTER LE PARK,Park,"Playground, Sports Field",43.7997502855521,-79.3313387833228
NORTH AGINCOURT PARK,Park,Sports Field,43.7967442202224,-79.2744512608674
PORT UNION WATERFRONT PARK,Park,,43.7790330064123,-79.1309152998662
ROCKFORD PARK,Park,"Basketball Court, Outdoor Dry Pad, Playground, Tennis Court",43.7864470424947,-79.4539758998359
ROUGE NEIGHBOURHOOD PARK,Park,,43.802257177452,-79.179420773407
KING GEORGES - KEELE PARKETTE,Park,,43.6960597222336,-79.4753823399146
JACK EVELYN WIGGINS PARK,Park,Playground,43.7679966957683,-79.4963015534383
CENTENNIAL PARK - SCARBOROUGH,Park,Playground,43.7856784289311,-79.1484293498635
DENISON PARK,Park,"Ball Diamond, Outdoor Fitness Equipment, Playground, Washroom",43.6939789153466,-79.5117517436348
LIVINGSTONE PARK,Park,Playground,43.6912173250629,-79.3537680168639
HILLINGDON - WOODROW PARKETTE,Park,,43.682702651673,-79.3204821732071
SERGEANT RYAN RUSSELL PARKETTE,Park,Playground,43.6774682882394,-79.3981158114417
