price,list_price,sold_price,home_type,home_type_bucket,neighbourhood,latitude,longitude,bedrooms,bedrooms_plus,bathrooms,estimated_area_sqft
353900.0,353900.0,353900.0,CONDO,CONDO,Church-Yonge Corridor,43.6557672,-79.3763377,2,0,1,350.0
359900.0,359900.0,359900.0,CONDO,CONDO,North St James Town,43.6722218,-79.37735959999999,2,0,1,350.0
399000.0,399000.0,399000.0,CONDO,CONDO,Church-Yonge Corridor,43.6533456,-79.3793731,1,0,1,550.0
329888.0,329888.0,329888.0,CONDO,CONDO,Kingsview Village The Westway,43.695785,-79.5531547,2,0,1,1100.0
385000.0,385000.0,385000.0,CONDO,CONDO,Church-Yonge Corridor,43.6693009,-79.3841709,2,0,1,350.0
349900.0,349900.0,349900.0,CONDO,CONDO,South Parkdale,43.6398034,-79.4266144,1,1,1,550.0
399999.0,399999.0,399999.0,CONDO,CONDO,Waterfront Communities C1,43.6411905,-79.3829556,1,0,1,550.0
399900.0,399900.0,399900.0,CONDO,CONDO,Waterfront Communities C1,43.6383693,-79.3986981,1,0,1,550.0
388000.0,388000.0,388000.0,CONDO,CONDO,Church-Yonge Corridor,43.6655348,-79.3801464,2,0,1,350.0
388000.0,388000.0,388000.0,CONDO,CONDO,Little Portugal,43.6423906,-79.4247385,1,0,1,350.0
349000.0,349000.0,349000.0,CONDO,CONDO,Regent Park,43.6601105,-79.3605898,2,0,1,350.0
384900.0,384900.0,384900.0,CONDO,CONDO,Yonge-St. Clair,43.6890139,-79.4018517,1,0,1,750.0
365000.0,365000.0,365000.0,CONDO,CONDO,Waterfront Communities C1,43.6411905,-79.3829556,2,0,1,350.0
399999.0,399999.0,399999.0,CONDO,CONDO,Mount Olive Silverstone Jamestown,43.7582885,-79.586393,1,0,2,850.0
349900.0,349900.0,349900.0,CONDO,CONDO,Waterfront Communities C1,43.65045569999999,-79.3878479,2,0,1,350.0
385000.0,385000.0,385000.0,CONDO,CONDO,High Park Swansea,43.6361579,-79.4706161,1,0,1,350.0
339900.0,339900.0,339900.0,CONDO,CONDO,Church-Yonge Corridor,43.6545231,-79.3791276,2,0,1,350.0
399000.0,399000.0,399000.0,CONDO,CONDO,Brookhaven Amesbury,43.6989235,-79.478878,1,0,1,750.0
399000.0,399000.0,399000.0,CONDO,CONDO,Niagara,43.6387756,-79.4163147,2,0,1,350.0
354900.0,354900.0,354900.0,CONDO,CONDO,North St James Town,43.6667987,-79.40319939999999,2,0,1,350.0
399999.0,399999.0,399999.0,CONDO,CONDO,High Park Swansea,43.6376021,-79.473026,1,1,1,750.0
399000.0,399000.0,399000.0,CONDO,CONDO,Bay Street Corridor,43.661781,-79.384218,2,0,1,350.0
399999.0,399999.0,399999.0,CONDO,CONDO,Bay Street Corridor,43.65886,-79.384741,1,1,1,350.0
399000.0,399000.0,399000.0,CONDO,CONDO,Waterfront Communities C1,43.6446563,-79.3928272,1,0,1,550.0
399999.0,399999.0,399999.0,CONDO,CONDO,Church-Yonge Corridor,43.6519098,-79.3770909,1,1,1,650.0
383900.0,383900.0,383900.0,CONDO,CONDO,Waterfront Communities C1,43.650446,-79.38771,1,0,1,350.0
367500.0,367500.0,367500.0,CONDO,CONDO,Elms Old Rexdale,43.7220795,-79.5439469,3,0,2,1300.0
399900.0,399900.0,399900.0,CONDO,CONDO,Church-Yonge Corridor,43.6545231,-79.3791276,2,0,1,350.0
334900.0,334900.0,334900.0,CONDO,CONDO,Kingsview Village The Westway,43.6968309,-79.5525309,2,0,1,1100.0
400000.0,400000.0,400000.0,CONDO,CONDO,Moss Park,43.6566436,-79.3547917,1,0,1,550.0
395000.0,395000.0,395000.0,CONDO,CONDO,Dovercourt Wallace Emerson Junction,43.6650324,-79.447587,1,0,1,550.0
370000.0,370000.0,370000.0,CONDO,CONDO,Annex,43.6702658,-79.3943539,2,0,1,350.0
349900.0,349900.0,349900.0,CONDO,CONDO,Mount Pleasant West,43.7087689,-79.3937974,2,0,1,350.0
399900.0,399900.0,399900.0,CONDO,CONDO,Church-Yonge Corridor,43.6552121,-79.375727,2,1,1,350.0
327000.0,327000.0,327000.0,CONDO,CONDO,Church-Yonge Corridor,43.6574957,-79.3743712,2,0,1,350.0
400000.0,400000.0,400000.0,CONDO,CONDO,Waterfront Communities C1,43.6490022,-79.386928,1,0,1,550.0
324900.0,324900.0,324900.0,CONDO,CONDO,Glenfield Jane Heights,43.7485094,-79.5058956,1,0,1,650.0
389000.0,389000.0,389000.0,CONDO,CONDO,Waterfront Communities The Island,43.6460155,-79.3940644,2,0,1,350.0
368900.0,368900.0,368900.0,CONDO,CONDO,Church-Yonge Corridor,43.6545231,-79.3791276,2,0,1,350.0
399900.0,399900.0,399900.0,CONDO,CONDO,Little Portugal,43.6423906,-79.4247385,1,0,1,350.0
399900.0,399900.0,399900.0,CONDO,CONDO,Annex,43.6733118,-79.415925,1,1,1,350.0
399000.0,399000.0,399000.0,CONDO,CONDO,Mount Pleasant West,43.70941010000001,-79.3980263,1,0,1,650.0
388000.0,388000.0,388000.0,CONDO,CONDO,Dovercourt-Wallace Emerson-Junction,43.6657347,-79.447861,1,0,1,550.0
369000.0,369000.0,369000.0,CONDO,CONDO,High Park North,43.6529879,-79.4694203,1,0,1,350.0
299000.0,299000.0,299000.0,CONDO,CONDO,Weston,43.7082653,-79.5342051,1,0,1,650.0
395000.0,395000.0,395000.0,CONDO,CONDO,Mount Pleasant East,43.7100927,-79.3831586,1,0,1,550.0
394999.0,394999.0,394999.0,CONDO,CONDO,Mount Pleasant West,43.7116204,-79.3955165,1,0,1,350.0
388000.0,388000.0,388000.0,CONDO,CONDO,West Humber Clairville,43.7212962,-79.6100827,1,1,2,950.0
349999.0,349999.0,349999.0,CONDO,CONDO,Niagara,43.63978890000001,-79.4096362,2,0,1,350.0
399000.0,399000.0,399000.0,CONDO,CONDO,Waterfront Communities C1,43.6478311,-79.391115,2,0,1,350.0
399000.0,399000.0,399000.0,CONDO,CONDO,Waterfront Communities C1,43.6454752,-79.3923183,2,0,1,350.0
304999.0,304999.0,304999.0,CONDO,CONDO,Glenfield Jane Heights,43.7458891,-79.5158122,1,0,1,850.0
369900.0,369900.0,369900.0,CONDO,CONDO,Moss Park,43.6536408,-79.3689234,2,0,1,350.0
399000.0,399000.0,399000.0,CONDO,CONDO,Moss Park,43.6597894,-79.3754391,2,0,1,350.0
309000.0,309000.0,309000.0,CONDO,CONDO,University,43.6653472,-79.4034356,2,0,1,350.0
379900.0,379900.0,379900.0,CONDO,CONDO,Elms Old Rexdale,43.7220795,-79.5439469,2,0,1,850.0
375000.0,375000.0,375000.0,CONDO,CONDO,Bay Street Corridor,43.6676702,-79.3864205,2,0,1,350.0
340000.0,340000.0,340000.0,CONDO,CONDO,Church-Yonge Corridor,43.6560563,-79.3772154,2,0,1,350.0
395000.0,395000.0,395000.0,CONDO,CONDO,Mount Pleasant West,43.7095303,-79.3982269,1,0,1,550.0
399999.0,399999.0,399999.0,CONDO,CONDO,Waterfront Communities C1,43.6459582,-79.3898731,2,0,1,350.0
399900.0,399900.0,399900.0,CONDO,CONDO,Waterfront Communities C1,43.6411905,-79.3829556,2,1,1,350.0
392888.0,392888.0,392888.0,CONDO,CONDO,Bay Street Corridor,43.664945,-79.38522549999999,2,0,1,350.0
399000.0,399000.0,399000.0,CONDO,CONDO,Church-Yonge Corridor,43.6564615,-79.3767046,1,0,1,350.0
388000.0,388000.0,388000.0,CONDO,CONDO,Moss Park,43.6574957,-79.3743712,1,0,1,350.0
399000.0,399000.0,399000.0,CONDO,CONDO,Bay Street Corridor,43.665786,-79.3855809,2,0,1,350.0
389000.0,389000.0,389000.0,CONDO,CONDO,Moss Park,43.656969,-79.3741222,1,0,1,350.0
369900.0,369900.0,369900.0,CONDO,CONDO,Waterfront Communities C8,43.6551874,-79.3548449,1,0,1,350.0
305999.0,305999.0,305999.0,CONDO,CONDO,Glenfield Jane Heights,43.7458891,-79.5158122,1,0,1,750.0
368000.0,368000.0,368000.0,CONDO,CONDO,Waterfront Communities C1,43.6476803,-79.3969205,2,0,1,350.0
348800.0,348800.0,348800.0,CONDO,CONDO,Mount Pleasant East,43.7087689,-79.3937974,2,0,1,350.0
350000.0,350000.0,350000.0,CONDO,CONDO,Waterfront Communities C1,43.6456123,-79.39183779999999,2,0,1,350.0
399999.0,399999.0,399999.0,CONDO,CONDO,Forest Hill South,43.7016568,-79.4212468,1,0,1,750.0
350000.0,350000.0,350000.0,CONDO,CONDO,Church-Yonge Corridor,43.6557672,-79.3763377,2,0,1,350.0
