NAME,ADDRESS_FULL,BOARD_NAME,SCHOOL_TYPE_DESC,Latitude,Longitude
THE TORONTO HESCHEL SCHOOL,819 Sheppard Ave W,,Private,43.7523395666413,-79.4508482919714
THE VILLAGE SHUL SYNAGOGUE & SUPPLMENTARY SCHOOL,1072 Eglinton Ave W,,Private,43.699986532638,-79.431434529951
THE WATERFRONT SCHOOL ,635 Queens Quay W,Toronto District School Board,English Public,43.6356945602156,-79.3971628966548
THE YMCA ACADEMY SECONDARY SCHOOL,15 Breadalbane St,,Private,43.6636229485974,-79.3848415539641
THE YORK SCHOOL - JR CAMPUS,1639 Yonge St,,Private,43.6917469686765,-79.3948924012314
THE YORK SCHOOL - MDL AND SR CAMPUS,1320 Yonge St,,Private,43.6846008693803,-79.3930651034779
THISTLETOWN COLLEGIATE INSTITUTE,20 Fordwich Cres,Toronto District School Board,English Public,43.7277265566382,-79.5624526489507
THOMAS L WELLS PUBLIC SCHOOL,69 Nightstar Rd,Toronto District School Board,English Public,43.8242998088678,-79.2261254163676
THORNCLIFFE PARK PUBLIC SCHOOL,80 Thorncliffe Park Dr,Toronto District School Board,English Public,43.7053900432282,-79.3434367551101
THREE VALLEYS PUBLIC SCHOOL ,76 Three Valleys Dr,Toronto District School Board,English Public,43.7506806575244,-79.3376043958259
TIFERES BAIS YAAKOV HIGH SCHOOL,85 Stormont Ave,,Private,43.7184091584611,-79.428727879566
TIMBERBANK JR PUBLIC SCHOOL ,170 Timberbank Blvd,Toronto District School Board,English Public,43.7914712561725,-79.307285388876
TIMOTHY CHRISTIAN SCHOOL,28 Elmhurst Dr,,Private,43.7249447361335,-79.5536925816276
TMU - HEASLIP HOUSE,297 Victoria St,,University,43.6571705170188,-79.3796616386087
TMU - HEIDELBERG CENTRE SCHOOL OF GRAPHIC COMM'NS MGMT,125 Bond St,,University,43.6575688128362,-79.3784997059176
TOM LONGBOAT JR PUBLIC SCHOOL,37 Crow Trl,Toronto District School Board,English Public,43.8104461724402,-79.2316269659623
