Name,Cuisine,Latitude,Longitude
Trattoria Fieramosca,italian,43.6695225,-79.3973194
Opus Restaurant,,43.6692221,-79.3972109
Joyous Chinese Cuisine,chinese,43.7912104,-79.3677019
Jerusalem Restaurant,mediterranean,43.7788827,-79.3639364
Gyubee Japanese Grill,japanese,43.6671324,-79.4006315
Swiss Chalet,chicken,43.7121924,-79.5776247
Olde Yorke Fish & Chips,,43.7062483,-79.3620148
Swiss Chalet Express,chicken,43.6716885,-79.2929317
Red Lobster,seafood,43.6146073,-79.5583735
Swiss Chalet,chicken,43.6798251,-79.3453954
New College Cafeteria,,43.6620985,-79.4011589
The Arbor Room,,43.6636712,-79.3945238
Taqueria El Pastorcito,mexican,43.6806191,-79.3376284
Red Lobster,seafood,43.7189057,-79.4561032
nutbar,,43.6461322,-79.3979085
Avenue Open Kitchen & Deli,,43.6471362,-79.3964363
Köz Bingöl,turkish,43.6470273,-79.4041776
Campechano Taqueria,mexican,43.6457945,-79.4007525
Sector 17,burger;indian,43.6583384,-79.3722469
Garage,,43.6647899,-79.380393
Ginger,vietnamese,43.6653713,-79.3809334
Bymark,regional,43.6471261,-79.3814556
SS Kitchen,chinese,43.7985753,-79.1388241
Jadranka Cafe & Pastries,,43.6773604,-79.5059173
Dumpling House Restaurant,chinese,43.6537676,-79.3986924
Sizzler Kabab,,43.6562551,-79.3990565
Chopfire,,43.6550695,-79.3985646
Kupfert & Kim - Spadina,,43.647695,-79.396262
Pizza Rustica Restaurant & Bar,pizza,43.6450581,-79.3917106
Boston Pizza,pizza,43.644225,-79.388488
Scaddabush,,43.6448503,-79.3854168
Phở Hieu Vietnamese Cuisine,vietnamese;noodle,43.6930144,-79.3157307
Ice Flame,,43.7365424,-79.562431
Lettuce Love Cafe,,43.6508433,-79.4769812
Maya Bay,thai,43.6643566,-79.3681554
Sultan Shawarma & Falafel,,43.6883364,-79.3017614
Hooters,burger,43.6479942,-79.3905326
California Pub & Grill,,43.6858529,-79.3476982
