price,list_price,sold_price,home_type,home_type_bucket,neighbourhood,latitude,longitude,bedrooms,bedrooms_plus,bathrooms,estimated_area_sqft,Distance_to_School,Distance_to_Hospital,Distance_to_Park,Distance_to_Library,Distance_to_Bank,Distance_to_Pharmacy,Distance_to_Grocery,Distance_to_Subway,Restaurants_Within_1km,Parks_Within_2km,Schools_Within_2km,_id,AREA_ID,AREA_ATTR_ID,PARENT_AREA_ID,AREA_SHORT_CODE,AREA_LONG_CODE,AREA_NAME,AREA_DESC,CLASSIFICATION,CLASSIFICATION_CODE,OBJECTID,Neighbourhood
1175000.0,1175000.0,1175000.0,DUPLEX_TRIPLEX_FOURPLEX,DUPLEX_TRIPLEX_FOURPLEX,Greenwood Coxwell,43.6755491,-79.3213109,5,3,4,1750.0,234.28,1626.6,64.43,349.56,356.07,302.64,276.58,966.73,33,60,35,91,2502276,26022791,,65,65,Greenwood-Coxwell,Greenwood-Coxwell (65),Not an NIA or Emerging Neighbourhood,,17826177.0,Greenwood-Coxwell
1299000.0,1299000.0,1299000.0,DUPLEX_TRIPLEX_FOURPLEX,DUPLEX_TRIPLEX_FOURPLEX,East End Danforth,43.6855383,-79.2917576,6,1,3,2250.0,306.8,2711.76,149.57,663.03,525.14,476.63,431.18,882.75,35,51,31,94,2502273,26022788,,62,62,East End-Danforth,East End-Danforth (62),Not an NIA or Emerging Neighbourhood,,17826225.0,East End-Danforth
1298000.0,1298000.0,1298000.0,DUPLEX_TRIPLEX_FOURPLEX,DUPLEX_TRIPLEX_FOURPLEX,Palmerston Little Italy,43.660747,-79.4247487,3,1,3,1300.0,379.09,1747.84,245.41,724.29,174.51,189.96,752.34,221.55,107,72,52,79,2502288,26022803,,80,80,Palmerston-Little Italy,Palmerston-Little Italy (80),Not an NIA or Emerging Neighbourhood,,17825985.0,Palmerston-Little Italy
1299900.0,1299900.0,1299900.0,DUPLEX_TRIPLEX_FOURPLEX,DUPLEX_TRIPLEX_FOURPLEX,Humewood Cedarvale,43.6885673,-79.4241682,4,1,3,1750.0,376.97,1397.37,94.12,883.93,733.03,113.72,762.69,815.24,32,60,38,53,2502314,26022829,,106,106,Humewood-Cedarvale,Humewood-Cedarvale (106),Not an NIA or Emerging Neighbourhood,,17825569.0,Humewood-Cedarvale
1399000.0,1399000.0,1399000.0,DUPLEX_TRIPLEX_FOURPLEX,DUPLEX_TRIPLEX_FOURPLEX,Dovercourt Wallace Emerson Junction,43.6645404,-79.4457844,4,2,3,1300.0,493.4,2709.23,228.18,334.19,416.89,259.78,265.84,650.06,41,52,42,4,2502363,26022878,,171,171,Junction-Wallace Emerson,Junction-Wallace Emerson (171),Not an NIA or Emerging Neighbourhood,,17824785.0,Junction-Wallace Emerson
1397500.0,1397500.0,1397500.0,DUPLEX_TRIPLEX_FOURPLEX,DUPLEX_TRIPLEX_FOURPLEX,Lawrence Park North,43.7264453,-79.3980486,4,0,2,2250.0,233.96,1988.74,222.37,345.31,365.99,378.41,388.46,355.79,17,42,28,54,2502313,26022828,,105,105,Lawrence Park North,Lawrence Park North (105),Not an NIA or Emerging Neighbourhood,,17825585.0,Lawrence Park North
1499000.0,1499000.0,1499000.0,DUPLEX_TRIPLEX_FOURPLEX,DUPLEX_TRIPLEX_FOURPLEX,Casa Loma,43.6764458,-79.4130494,4,1,3,1300.0,168.22,241.01,88.95,737.05,306.66,439.32,321.61,524.89,31,79,55,62,2502305,26022820,,96,96,Casa Loma,Casa Loma (96),Not an NIA or Emerging Neighbourhood,,17825713.0,Casa Loma
1499000.0,1499000.0,1499000.0,DUPLEX_TRIPLEX_FOURPLEX,DUPLEX_TRIPLEX_FOURPLEX,Danforth,43.6831934,-79.3409185,4,1,8,2750.0,304.49,1488.65,206.56,588.03,570.13,450.3,361.72,348.52,67,48,37,90,2502277,26022792,,66,66,Danforth,Danforth (66),Not an NIA or Emerging Neighbourhood,,17826161.0,Danforth
1488000.0,1488000.0,1488000.0,DUPLEX_TRIPLEX_FOURPLEX,DUPLEX_TRIPLEX_FOURPLEX,Corso Italia Davenport,43.6796772,-79.443391,4,2,3,1750.0,90.86,2251.84,209.07,306.89,174.63,190.53,656.66,2252.65,48,56,37,65,2502302,26022817,,92,92,Corso Italia-Davenport,Corso Italia-Davenport (92),Not an NIA or Emerging Neighbourhood,,17825761.0,Corso Italia-Davenport
1488000.0,1488000.0,1488000.0,DUPLEX_TRIPLEX_FOURPLEX,DUPLEX_TRIPLEX_FOURPLEX,Little Portugal,43.649376,-79.4284827,2,0,4,1750.0,374.18,1063.13,323.47,924.39,537.87,67.43,162.89,1331.98,107,68,41,104,2502263,26022778,,84,84,Little Portugal,Little Portugal (84),Not an NIA or Emerging Neighbourhood,,17826385.0,Little Portugal
