price,list_price,sold_price,home_type,home_type_bucket,neighbourhood,latitude,longitude,bedrooms,bedrooms_plus,bathrooms,estimated_area_sqft,Distance_to_School,Distance_to_Hospital,Distance_to_Park,Distance_to_Library,Distance_to_Bank,Distance_to_Pharmacy,Distance_to_Grocery,Distance_to_Subway,Restaurants_Within_1km,Parks_Within_2km,Schools_Within_2km,_id,AREA_ID,AREA_ATTR_ID,PARENT_AREA_ID,AREA_SHORT_CODE,AREA_LONG_CODE,AREA_NAME,AREA_DESC,CLASSIFICATION,CLASSIFICATION_CODE,OBJECTID,Neighbourhood
949000.0,949000.0,949000.0,HOUSE,HOUSE,East End Danforth,43.6827365,-79.3065292,3,0,2,1300.0,579.17,1682.48,228.14,573.37,576.36,452.31,543.6,638.31,24,61,37,94,2502273,26022788,,62,62,East End-Danforth,East End-Danforth (62),Not an NIA or Emerging Neighbourhood,,17826225.0,East End-Danforth
1000000.0,1000000.0,1000000.0,HOUSE,HOUSE,Danforth,43.6864344,-79.3155577,3,0,2,1300.0,112.08,848.43,248.13,562.82,181.36,254.57,243.86,235.86,24,58,36,90,2502277,26022792,,66,66,Danforth,Danforth (66),Not an NIA or Emerging Neighbourhood,,17826161.0,Danforth
999900.0,999900.0,999900.0,HOUSE,HOUSE,Trinity Bellwoods,43.6489412,-79.4083937,3,0,2,1300.0,98.89,555.59,384.2,424.67,553.77,302.92,572.04,1745.76,287,82,47,106,2502261,26022776,,81,81,Trinity-Bellwoods,Trinity-Bellwoods (81),Not an NIA or Emerging Neighbourhood,,17826417.0,Trinity-Bellwoods
999999.0,999999.0,999999.0,HOUSE,HOUSE,High Park Swansea,43.6472882,-79.4516609,5,0,3,2250.0,305.05,784.15,610.09,328.66,331.64,521.27,304.25,1078.62,35,46,29,101,2502266,26022781,,87,87,High Park-Swansea,High Park-Swansea (87),Not an NIA or Emerging Neighbourhood,,17826337.0,High Park-Swansea
995000.0,995000.0,995000.0,HOUSE,HOUSE,Greenwood Coxwell,43.6733069,-79.3248662,1,1,2,900.0,157.11,1849.7,317.05,246.46,470.07,396.93,300.98,1116.75,24,55,32,91,2502276,26022791,,65,65,Greenwood-Coxwell,Greenwood-Coxwell (65),Not an NIA or Emerging Neighbourhood,,17826177.0,Greenwood-Coxwell
999000.0,999000.0,999000.0,HOUSE,HOUSE,Corso Italia Davenport,43.6751767,-79.4415788,3,1,3,1300.0,147.9,2113.2,387.67,214.53,347.4,169.3,850.39,1731.45,45,59,36,65,2502302,26022817,,92,92,Corso Italia-Davenport,Corso Italia-Davenport (92),Not an NIA or Emerging Neighbourhood,,17825761.0,Corso Italia-Davenport
999000.0,999000.0,999000.0,HOUSE,HOUSE,Dovercourt Wallace Emerson Junction,43.6693144,-79.4252868,3,0,1,1750.0,183.56,1215.68,281.78,636.48,806.7,555.44,273.64,775.81,69,70,53,3,2502364,26022879,,172,172,Dovercourt Village,Dovercourt Village (172),Not an NIA or Emerging Neighbourhood,,17824769.0,Dovercourt Village
999999.0,999999.0,999999.0,HOUSE,HOUSE,The Beaches,43.6793016,-79.295348,3,0,2,1302.0,120.23,2656.61,256.75,563.95,481.89,371.02,193.45,1194.91,31,51,31,93,2502274,26022789,,63,63,The Beaches,The Beaches (63),Not an NIA or Emerging Neighbourhood,,17826209.0,The Beaches
999999.0,999999.0,999999.0,HOUSE,HOUSE,Weston Pellam Park,43.6719103,-79.4623851,4,0,3,1750.0,195.79,1706.15,80.65,300.67,586.67,339.43,551.86,1826.77,58,60,35,66,2502301,26022816,,91,91,Weston-Pelham Park,Weston-Pelham Park (91),Neighbourhood Improvement Area,NIA,17825777.0,Weston-Pelham Park
999000.0,999000.0,999000.0,HOUSE,HOUSE,Dufferin Grove,43.6558844,-79.441694,4,2,2,1750.0,391.01,1847.83,304.27,765.16,504.32,308.41,449.49,369.43,71,64,45,105,2502262,26022777,,83,83,Dufferin Grove,Dufferin Grove (83),Not an NIA or Emerging Neighbourhood,,17826401.0,Dufferin Grove
