price,list_price,sold_price,home_type,home_type_bucket,neighbourhood,latitude,longitude,bedrooms,bedrooms_plus,bathrooms,estimated_area_sqft,Distance_to_School,Distance_to_Hospital,Distance_to_Park,Distance_to_Library,Distance_to_Bank,Distance_to_Pharmacy,Distance_to_Grocery,Distance_to_Subway,Restaurants_Within_1km,Parks_Within_2km,Schools_Within_2km,_id,AREA_ID,AREA_ATTR_ID,PARENT_AREA_ID,AREA_SHORT_CODE,AREA_LONG_CODE,AREA_NAME,AREA_DESC,CLASSIFICATION,CLASSIFICATION_CODE,OBJECTID,Neighbourhood
375000.0,375000.0,375000.0,CONDO,CONDO,High Park-Swansea,43.6368133,-79.4681638,1,0,1,350.0,1045.65,1523.74,261.87,1428.57,1328.78,981.13,1199.52,1771.56,1,31,11,101,2502266,26022781,,87,87,High Park-Swansea,High Park-Swansea (87),Not an NIA or Emerging Neighbourhood,,17826337.0,High Park-Swansea
388000.0,388000.0,388000.0,CONDO,CONDO,Waterfront Communities C8,43.64992729999999,-79.3670527,1,0,1,350.0,186.16,958.14,130.89,104.19,162.5,66.36,81.83,867.83,109,79,48,40,2502327,26022842,,166,166,St Lawrence-East Bayfront-The Islands,St Lawrence-East Bayfront-The Islands (166),Not an NIA or Emerging Neighbourhood,,17825361.0,St Lawrence-East Bayfront-The Islands
339000.0,339000.0,339000.0,CONDO,CONDO,Mount Pleasant West,43.7101663,-79.3934897,2,0,1,350.0,238.39,1857.5,185.0,549.84,288.29,250.79,304.67,557.09,83,49,41,2,2502365,26022880,,173,173,North Toronto,North Toronto (173),Not an NIA or Emerging Neighbourhood,,17824753.0,North Toronto
399000.0,399000.0,399000.0,CONDO,CONDO,Waterfront Communities C1,43.6489604,-79.392576,2,0,1,350.0,236.3,884.85,192.12,857.65,59.78,108.39,85.26,526.97,382,87,58,42,2502325,26022840,,164,164,Wellington Place,Wellington Place (164),Not an NIA or Emerging Neighbourhood,,17825393.0,Wellington Place
398000.0,398000.0,398000.0,CONDO,CONDO,Waterfront Communities C8,43.6455213,-79.3687484,1,0,2,350.0,278.67,1159.44,134.93,512.51,132.62,184.55,159.19,818.73,101,73,32,40,2502327,26022842,,166,166,St Lawrence-East Bayfront-The Islands,St Lawrence-East Bayfront-The Islands (166),Not an NIA or Emerging Neighbourhood,,17825361.0,St Lawrence-East Bayfront-The Islands
385000.0,385000.0,385000.0,CONDO,CONDO,Church-Yonge Corridor,43.6574957,-79.3743712,1,0,1,350.0,193.76,510.78,203.96,701.78,27.53,176.68,218.0,545.59,232,103,66,83,2502284,26022799,,73,73,Moss Park,Moss Park (73),Not an NIA or Emerging Neighbourhood,,17826049.0,Moss Park
399900.0,399900.0,399900.0,CONDO,CONDO,Cabbagetown-South St. James Town,43.6667853,-79.3749198,1,0,1,350.0,84.43,622.43,105.93,88.82,513.17,186.33,107.49,622.69,151,89,64,85,2502282,26022797,,71,71,Cabbagetown-South St.James Town,Cabbagetown-South St.James Town (71),Not an NIA or Emerging Neighbourhood,,17826081.0,Cabbagetown-South St.James Town
368000.0,368000.0,368000.0,CONDO,CONDO,TCCY - Church-Yonge Corridor,43.6693009,-79.3841709,2,0,1,359.0,57.04,491.8,129.57,359.81,203.55,177.83,162.96,205.22,163,92,73,39,2502328,26022843,,167,167,Church-Wellesley,Church-Wellesley (167),Not an NIA or Emerging Neighbourhood,,17825345.0,Church-Wellesley
399999.0,399999.0,399999.0,CONDO,CONDO,Englemount Lawrence,43.7224076,-79.4316668,1,0,1,650.0,110.0,884.13,183.48,192.72,239.09,338.56,308.61,1267.84,13,41,35,121,2502246,26022761,,32,32,Englemount-Lawrence,Englemount-Lawrence (32),Emerging Neighbourhood,EN,17826657.0,Englemount-Lawrence
399000.0,399000.0,399000.0,CONDO,CONDO,Waterfront Communities C1,43.650446,-79.38771,2,0,1,350.0,228.25,718.57,238.39,450.73,147.8,59.37,361.37,102.03,371,86,65,42,2502325,26022840,,164,164,Wellington Place,Wellington Place (164),Not an NIA or Emerging Neighbourhood,,17825393.0,Wellington Place
288000.0,288000.0,288000.0,CONDO,CONDO,Church-Yonge Corridor,43.6568058,-79.3750924,1,0,1,550.0,224.44,414.94,109.98,796.8,73.81,89.28,213.4,477.99,243,104,65,38,2502329,26022844,,168,168,Downtown Yonge East,Downtown Yonge East (168),Not an NIA or Emerging Neighbourhood,,17825329.0,Downtown Yonge East
399000.0,399000.0,399000.0,CONDO,CONDO,Mount Pleasant East,43.7100927,-79.3831586,1,0,1,550.0,434.32,1220.62,276.75,792.83,522.72,513.26,387.48,1293.14,50,44,37,59,2502308,26022823,,99,99,Mount Pleasant East,Mount Pleasant East (99),Not an NIA or Emerging Neighbourhood,,17825665.0,Mount Pleasant East
389000.0,389000.0,389000.0,CONDO,CONDO,Church-Yonge Corridor,43.6568058,-79.3750924,1,0,1,550.0,224.44,414.94,109.98,796.8,73.81,89.28,213.4,477.99,243,104,65,38,2502329,26022844,,168,168,Downtown Yonge East,Downtown Yonge East (168),Not an NIA or Emerging Neighbourhood,,17825329.0,Downtown Yonge East
400000.0,400000.0,400000.0,CONDO,CONDO,Brookhaven Amesbury,43.7075403,-79.4792259,2,0,1,850.0,233.11,1895.15,280.37,543.48,102.35,106.84,208.54,2963.88,8,34,19,123,2502244,26022759,,30,30,Brookhaven-Amesbury,Brookhaven-Amesbury (30),Not an NIA or Emerging Neighbourhood,,17826689.0,Brookhaven-Amesbury
400000.0,400000.0,400000.0,CONDO,CONDO,Dovercourt-Wallace Emerson-Junction,43.6667326,-79.4481553,1,1,1,550.0,505.01,2650.93,310.06,168.78,250.1,55.55,101.21,951.13,20,53,39,4,2502363,26022878,,171,171,Junction-Wallace Emerson,Junction-Wallace Emerson (171),Not an NIA or Emerging Neighbourhood,,17824785.0,Junction-Wallace Emerson
399900.0,399900.0,399900.0,CONDO,CONDO,Waterfront Communities C1,43.6525073,-79.3979879,1,0,1,550.0,360.38,612.91,366.47,606.56,47.44,62.33,62.65,822.76,380,93,69,81,2502286,26022801,,78,78,Kensington-Chinatown,Kensington-Chinatown (78),Not an NIA or Emerging Neighbourhood,,17826017.0,Kensington-Chinatown
349000.0,349000.0,349000.0,CONDO,CONDO,Regent Park,43.659783,-79.362653,2,0,1,350.0,239.91,979.16,102.68,488.77,176.87,116.61,240.82,1521.19,66,98,52,84,2502283,26022798,,72,72,Regent Park,Regent Park (72),Neighbourhood Improvement Area,NIA,17826065.0,Regent Park
358000.0,358000.0,358000.0,CONDO,CONDO,Church-Yonge Corridor,43.6695417,-79.3837883,2,0,1,350.0,26.42,509.23,168.38,357.87,181.25,215.0,161.45,206.01,162,89,73,39,2502328,26022843,,167,167,Church-Wellesley,Church-Wellesley (167),Not an NIA or Emerging Neighbourhood,,17825345.0,Church-Wellesley
390000.0,390000.0,390000.0,CONDO,CONDO,Annex,43.670312,-79.394299,2,0,1,350.0,65.72,1097.87,204.2,489.01,102.21,214.91,202.57,324.41,134,99,80,63,2502304,26022819,,95,95,Annex,Annex (95),Not an NIA or Emerging Neighbourhood,,17825729.0,Annex
380000.0,380000.0,380000.0,CONDO,CONDO,South Parkdale,43.6404251,-79.4246524,1,0,1,350.0,707.92,563.15,80.95,650.38,261.01,216.99,117.83,2368.97,94,60,26,103,2502264,26022779,,85,85,South Parkdale,South Parkdale (85),Neighbourhood Improvement Area,NIA,17826369.0,South Parkdale
388888.0,388888.0,388888.0,CONDO,CONDO,High Park-Swansea,43.63625520000001,-79.4708718,1,0,1,350.0,963.37,1750.31,407.69,1378.78,1112.78,796.43,987.78,1766.5,1,31,9,101,2502266,26022781,,87,87,High Park-Swansea,High Park-Swansea (87),Not an NIA or Emerging Neighbourhood,,17826337.0,High Park-Swansea
399000.0,399000.0,399000.0,CONDO,CONDO,West Humber Clairville,43.7248194,-79.6160451,1,1,1,650.0,517.68,1498.62,349.08,514.18,1393.78,452.67,1320.52,10345.11,3,13,6,154,2502213,26022728,,1,1,West Humber-Clairville,West Humber-Clairville (1),Not an NIA or Emerging Neighbourhood,,17827185.0,West Humber-Clairville
399000.0,399000.0,399000.0,CONDO,CONDO,Waterfront Communities C1,43.6457753,-79.3925057,1,0,1,550.0,460.04,1230.95,202.84,965.5,144.05,38.27,96.64,653.93,285,77,46,42,2502325,26022840,,164,164,Wellington Place,Wellington Place (164),Not an NIA or Emerging Neighbourhood,,17825393.0,Wellington Place
399000.0,399000.0,399000.0,CONDO,CONDO,Niagara,43.6409419,-79.40371499999999,1,0,1,350.0,494.25,1221.95,338.91,328.37,143.45,297.87,196.73,1696.82,120,72,30,44,2502323,26022838,,162,162,West Queen West,West Queen West (162),Not an NIA or Emerging Neighbourhood,,17825425.0,West Queen West
399000.0,399000.0,399000.0,CONDO,CONDO,Mount Pleasant West,43.7101675,-79.39241950000002,2,0,1,350.0,185.87,1783.64,202.49,630.0,253.18,220.12,303.19,623.0,83,47,39,2,2502365,26022880,,173,173,North Toronto,North Toronto (173),Not an NIA or Emerging Neighbourhood,,17824753.0,North Toronto
388888.0,388888.0,388888.0,CONDO,CONDO,Moss Park,43.656969,-79.3741222,1,0,1,350.0,151.24,474.84,168.0,729.62,38.88,169.28,262.42,557.18,229,101,65,83,2502284,26022799,,73,73,Moss Park,Moss Park (73),Not an NIA or Emerging Neighbourhood,,17826049.0,Moss Park
349880.0,349880.0,349880.0,CONDO,CONDO,Niagara,43.6409911,-79.4143265,1,0,1,550.0,490.8,412.44,94.19,1138.45,83.68,229.56,99.92,2487.65,100,70,29,44,2502323,26022838,,162,162,West Queen West,West Queen West (162),Not an NIA or Emerging Neighbourhood,,17825425.0,West Queen West
398800.0,398800.0,398800.0,CONDO,CONDO,Bay Street Corridor,43.6593521,-79.3856503,1,0,1,550.0,477.6,216.04,152.14,681.11,79.06,122.11,134.93,271.95,224,98,81,5,2502362,26022877,,170,170,Yonge-Bay Corridor,Yonge-Bay Corridor (170),Not an NIA or Emerging Neighbourhood,,17824801.0,Yonge-Bay Corridor
395000.0,395000.0,395000.0,CONDO,CONDO,Mount Pleasant West,43.7104736,-79.3924946,2,0,1,350.0,165.13,1771.22,184.86,636.82,287.6,254.69,332.4,639.64,77,47,39,2,2502365,26022880,,173,173,North Toronto,North Toronto (173),Not an NIA or Emerging Neighbourhood,,17824753.0,North Toronto
349000.0,349000.0,349000.0,CONDO,CONDO,University,43.6652906,-79.4036206,2,0,1,350.0,107.87,776.33,115.18,276.52,174.44,21.63,142.11,371.72,147,91,71,80,2502287,26022802,,79,79,University,University (79),Not an NIA or Emerging Neighbourhood,,17826001.0,University
384000.0,384000.0,384000.0,CONDO,CONDO,Waterfront Communities C8,43.6616458,-79.37671940000001,2,0,1,350.0,133.79,589.87,193.91,676.1,221.41,376.72,170.95,500.85,197,99,75,38,2502329,26022844,,168,168,Downtown Yonge East,Downtown Yonge East (168),Not an NIA or Emerging Neighbourhood,,17825329.0,Downtown Yonge East
349900.0,349900.0,349900.0,CONDO,CONDO,Church Yonge Corridor,43.6699083,-79.3815245,2,0,1,350.0,190.25,539.2,46.08,476.97,208.83,292.63,264.03,348.69,160,89,71,39,2502328,26022843,,167,167,Church-Wellesley,Church-Wellesley (167),Not an NIA or Emerging Neighbourhood,,17825345.0,Church-Wellesley
398000.0,398000.0,398000.0,CONDO,CONDO,Waterfront Communities C1,43.6457753,-79.3925057,2,0,1,350.0,460.04,1230.95,202.84,965.5,144.05,38.27,96.64,653.93,285,77,46,42,2502325,26022840,,164,164,Wellington Place,Wellington Place (164),Not an NIA or Emerging Neighbourhood,,17825393.0,Wellington Place
399900.0,399900.0,399900.0,CONDO,CONDO,Yonge-Eglinton,43.7062552,-79.39986979999999,2,0,1,350.0,106.5,2522.3,345.05,220.79,58.02,138.73,94.82,118.47,88,50,43,58,2502309,26022824,,100,100,Yonge-Eglinton,Yonge-Eglinton (100),Not an NIA or Emerging Neighbourhood,,17825649.0,Yonge-Eglinton
399900.0,399900.0,399900.0,CONDO,CONDO,Waterfront Communities C1,43.6383693,-79.3986981,2,0,1,350.0,268.05,1684.75,202.61,166.42,102.75,129.0,142.1,1528.28,76,59,24,41,2502326,26022841,,165,165,Harbourfront-CityPlace,Harbourfront-CityPlace (165),Not an NIA or Emerging Neighbourhood,,17825377.0,Harbourfront-CityPlace
325000.0,325000.0,325000.0,CONDO,CONDO,Annex,43.6732429,-79.3898622,2,0,1,350.0,118.38,1091.8,118.03,176.92,201.31,210.33,323.46,341.59,134,93,71,63,2502304,26022819,,95,95,Annex,Annex (95),Not an NIA or Emerging Neighbourhood,,17825729.0,Annex
375000.0,375000.0,375000.0,CONDO,CONDO,Waterfront Communities C1,43.646985,-79.3916675,2,0,1,350.0,436.9,1088.08,66.49,949.58,252.77,117.93,137.55,554.15,312,86,51,42,2502325,26022840,,164,164,Wellington Place,Wellington Place (164),Not an NIA or Emerging Neighbourhood,,17825393.0,Wellington Place
353900.0,353900.0,353900.0,CONDO,CONDO,Church-Yonge Corridor,43.6557672,-79.3763377,2,0,1,350.0,114.3,265.16,63.2,659.07,226.31,89.94,118.28,386.46,246,99,65,38,2502329,26022844,,168,168,Downtown Yonge East,Downtown Yonge East (168),Not an NIA or Emerging Neighbourhood,,17825329.0,Downtown Yonge East
359900.0,359900.0,359900.0,CONDO,CONDO,North St James Town,43.6722218,-79.37735959999999,2,0,1,350.0,214.51,886.71,218.61,577.49,33.2,39.09,91.04,77.96,109,84,55,82,2502285,26022800,,74,74,North St.James Town,North St.James Town (74),Not an NIA or Emerging Neighbourhood,,17826033.0,North St.James Town
399000.0,399000.0,399000.0,CONDO,CONDO,Church-Yonge Corridor,43.6533456,-79.3793731,1,0,1,550.0,190.69,130.12,239.35,358.58,76.92,71.48,204.16,49.1,289,101,70,38,2502329,26022844,,168,168,Downtown Yonge East,Downtown Yonge East (168),Not an NIA or Emerging Neighbourhood,,17825329.0,Downtown Yonge East
329888.0,329888.0,329888.0,CONDO,CONDO,Kingsview Village The Westway,43.695785,-79.5531547,2,0,1,1100.0,233.99,3724.37,166.51,1679.01,396.65,406.05,661.31,6055.13,2,26,21,149,2502218,26022733,,6,6,Kingsview Village-The Westway,Kingsview Village-The Westway (6),Neighbourhood Improvement Area,NIA,17827105.0,Kingsview Village-The Westway
385000.0,385000.0,385000.0,CONDO,CONDO,Church-Yonge Corridor,43.6693009,-79.3841709,2,0,1,350.0,57.04,491.8,129.57,359.81,203.55,177.83,162.96,205.22,163,92,73,39,2502328,26022843,,167,167,Church-Wellesley,Church-Wellesley (167),Not an NIA or Emerging Neighbourhood,,17825345.0,Church-Wellesley
349900.0,349900.0,349900.0,CONDO,CONDO,South Parkdale,43.6398034,-79.4266144,1,1,1,550.0,660.62,723.06,91.41,512.33,325.39,95.87,264.32,2382.03,87,59,25,103,2502264,26022779,,85,85,South Parkdale,South Parkdale (85),Neighbourhood Improvement Area,NIA,17826369.0,South Parkdale
399999.0,399999.0,399999.0,CONDO,CONDO,Waterfront Communities C1,43.6411905,-79.3829556,1,0,1,550.0,935.61,1444.16,196.78,1356.12,169.85,352.79,210.52,542.14,141,67,36,41,2502326,26022841,,165,165,Harbourfront-CityPlace,Harbourfront-CityPlace (165),Not an NIA or Emerging Neighbourhood,,17825377.0,Harbourfront-CityPlace
399900.0,399900.0,399900.0,CONDO,CONDO,Waterfront Communities C1,43.6383693,-79.3986981,1,0,1,550.0,268.05,1684.75,202.61,166.42,102.75,129.0,142.1,1528.28,76,59,24,41,2502326,26022841,,165,165,Harbourfront-CityPlace,Harbourfront-CityPlace (165),Not an NIA or Emerging Neighbourhood,,17825377.0,Harbourfront-CityPlace
388000.0,388000.0,388000.0,CONDO,CONDO,Church-Yonge Corridor,43.6655348,-79.3801464,2,0,1,350.0,113.05,179.74,130.42,510.79,74.86,82.9,336.56,293.97,195,96,74,39,2502328,26022843,,167,167,Church-Wellesley,Church-Wellesley (167),Not an NIA or Emerging Neighbourhood,,17825345.0,Church-Wellesley
388000.0,388000.0,388000.0,CONDO,CONDO,Little Portugal,43.6423906,-79.4247385,1,0,1,350.0,521.81,496.23,79.07,648.7,70.26,102.81,210.7,2164.17,108,63,30,104,2502263,26022778,,84,84,Little Portugal,Little Portugal (84),Not an NIA or Emerging Neighbourhood,,17826385.0,Little Portugal
349000.0,349000.0,349000.0,CONDO,CONDO,Regent Park,43.6601105,-79.3605898,2,0,1,350.0,206.77,847.65,73.63,628.31,58.17,62.89,198.44,1636.71,72,96,53,84,2502283,26022798,,72,72,Regent Park,Regent Park (72),Neighbourhood Improvement Area,NIA,17826065.0,Regent Park
384900.0,384900.0,384900.0,CONDO,CONDO,Yonge-St. Clair,43.6890139,-79.4018517,1,0,1,750.0,287.5,1674.03,231.66,759.56,381.69,533.41,305.38,666.43,29,67,36,61,2502306,26022821,,97,97,Yonge-St.Clair,Yonge-St.Clair (97),Not an NIA or Emerging Neighbourhood,,17825697.0,Yonge-St.Clair
365000.0,365000.0,365000.0,CONDO,CONDO,Waterfront Communities C1,43.6411905,-79.3829556,2,0,1,350.0,935.61,1444.16,196.78,1356.12,169.85,352.79,210.52,542.14,141,67,36,41,2502326,26022841,,165,165,Harbourfront-CityPlace,Harbourfront-CityPlace (165),Not an NIA or Emerging Neighbourhood,,17825377.0,Harbourfront-CityPlace
399999.0,399999.0,399999.0,CONDO,CONDO,Mount Olive Silverstone Jamestown,43.7582885,-79.586393,1,0,2,850.0,597.77,3390.82,140.65,1190.34,265.63,291.0,321.45,6527.19,3,26,15,153,2502214,26022729,,2,2,Mount Olive-Silverstone-Jamestown,Mount Olive-Silverstone-Jamestown (2),Neighbourhood Improvement Area,NIA,17827169.0,Mount Olive-Silverstone-Jamestown
349900.0,349900.0,349900.0,CONDO,CONDO,Waterfront Communities C1,43.65045569999999,-79.3878479,2,0,1,350.0,218.51,714.78,227.24,457.72,136.83,69.65,352.5,111.97,371,86,65,42,2502325,26022840,,164,164,Wellington Place,Wellington Place (164),Not an NIA or Emerging Neighbourhood,,17825393.0,Wellington Place
