Model,MAE,RMSE,R2,MAPE (%),Training Time (s),Prediction Time (s)
Current Single Model,231733.6,588055.21,0.8499,14.23,2.016,0.0204
Condo,129823.83,400286.5683,0.8177,12.3414,15.9809,0.0036
LowDensity,525014.0825,928569.7948,0.7761,19.4111,13.093,0.0025
MultiUnit,415689.1406,712176.0168,0.3679,21.293,8.4689,0.0027
